# Raw Optimization Data
# ,P15 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P17 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P1 - Moment Reaction Maximum X Axis (N m) ,P2 - Moment Reaction Maximum Total (N m) ,P3 - Total Deformation Maximum (m) ,P4 - Total Deformation Average (m) ,P16 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P18 - Y_directional_deformation_PUL Maximum (mm) ,P19 - Y_directional_deformation_Muscle Maximum (mm) ,P20 - Z_directional_deformation_Muscle Maximum (mm) ,P21 - Z_directional_deformation_PUL Maximum (mm) ,P22 - Y_directional_deformation_PUL Minimum (mm) ,P23 - Y_directional_deformation_Muscle Minimum (mm) ,P24 - Z_directional_deformation_Muscle Minimum (mm) ,P25 - Z_directional_deformation_PUL Minimum (mm) 
Name,P15,P17,P1,P2,P3,P4,P16,P18,P19,P20,P21,P22,P23,P24,P25
1,1,1,-0.00047548483241634622,0.0021706837501412929,0.0019663494497923766,0.00044673083910257871,1,0.82943028211593628,0.82943028211593628,1.6483621597290039,1.89116370677948,0.1808745414018631,-0.11696542054414749,-0.49813711643218989,1.0617548227310181
2,1,6,0.0064769994436010966,0.0064820056107081532,0.0027318286164949158,0.00076890393365476378,1,1.2885986566543579,1.2885986566543579,0,-0.87989991903305054,0.643728971481323,-0.0109519083052874,-2.43246960639954,-2.22628355026245
3,1,3,0.0012738120840181829,0.0012895038934516883,0.0011402236923912824,0.00033601719213045329,1,0.98881697654724132,0.98881697654724132,0.24791963398456573,0.680645227432251,0.39053234457969666,0,-1.0580859184265137,-0.25319954752922058
4,1,8,0.010067310115517552,0.010070933161181454,0.0037786276302764045,0.0010852463971005981,1,1.5703425407409668,1.6375643014907837,0,-1.673804759979248,0.78404694795608521,-0.043436605483293533,-3.4148173332214355,-3.3002471923828125
5,1,2,-0.00010284282724612875,0.00046882979628612193,0.0014230318042388202,0.000337011888745622,1,0.90681225061416626,0.90681225061416626,0.92928588390350342,1.2797811031341553,0.29051920771598816,0,-0.754504919052124,0.41889995336532593
6,1,7,0.0082604371794048718,0.008264660536190906,0.0032697642845235567,0.00093121120506386307,1,1.4223103523254395,1.4458175897598267,0,-1.3017539978027344,0.71614450216293335,-0.028541635721921921,-2.9346761703491211,-2.7857820987701416
7,1,4,0.0029870716723794082,0.0029953854182011978,0.0016315826283941465,0.00044365584235799867,1,1.0759538412094116,1.0759538412094116,0,0.11367499083280563,0.48196601867675781,0,-1.4471396207809448,-0.96095234155654907
8,2,9,0.0073740793210215674,0.0073830723679917474,0.0033109810750556463,0.00091194411684926121,2,1.9569324254989626,1.9569324254989626,0,-0.33328145742416382,0.972061812877655,0,-2.8737118244171143,-2.1968317031860352
9,2,2,-0.00091547247977855485,0.0041046782541905363,0.0033615879718973283,0.00076283843762001721,2,1.4888331890106201,1.4888331890106201,2.8625755310058594,3.2010242938995361,0.40346729755401611,-0.080453641712665558,-0.78016805648803711,1.7450659275054932
10,2,6,0.002377306917299286,0.0024002980637074524,0.0020416937293944695,0.000607658150976829,2,1.7674171924591064,1.7674171924591064,0.41488781571388245,1.0756067037582397,0.76683461666107178,0,-1.8330274820327759,-0.45880186557769775
11,2,4,-0.00018518031024361206,0.00089973723411681747,0.002438047206864549,0.0005939482263941909,2,1.6434580087661743,1.6434580087661743,1.5932677984237671,2.1303637027740479,0.60167700052261353,0,-1.2901865243911743,0.73102873563766479
12,2,8,0.0056804174607677426,0.0056915845479770209,0.0028770480134242818,0.00078976167041051534,2,1.8913239240646362,1.8913239240646362,0,0.10656978935003281,0.90780919790267944,0,-2.4948973655700684,-1.651498556137085
