# Raw Optimization Data
# ,P26 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P27 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Free Length (mm) ,P1 - Moment Reaction Maximum X Axis (N m) ,P2 - Moment Reaction Maximum Total (N m) ,P3 - Total Deformation Maximum (m) ,P4 - Total Deformation Average (m) ,P18 - Y_directional_deformation_PUL Maximum (mm) ,P19 - Y_directional_deformation_Muscle Maximum (mm) ,P20 - Z_directional_deformation_Muscle Maximum (mm) ,P21 - Z_directional_deformation_PUL Maximum (mm) ,P22 - P_point_Y Average (mm) ,P23 - P_point_Z Average (mm) ,P28 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Free Length (mm) 
Name,P26,P27,P1,P2,P3,P4,P18,P19,P20,P21,P22,P23,P28
1,1.21875,10.40625,-0.0012086325119850135,0.0054285792456250431,0.0037509943431452,0.00086937662068964133,1.4255374670028687,1.4255374670028687,3.3782341480255127,3.6276636123657227,1.0816673984367884,3.0198848475679827,10.40625
2,1.65625,16.90625,-0.00025728674927794445,0.001161903999760636,0.0016838488114611972,0.00038032528410038,0.901665985584259,0.901665985584259,1.243056058883667,1.5702269077301025,0.72594130409961677,1.0050981806225761,16.90625
3,2.09375,13.65625,-0.00049446438703147438,0.0022180197233817264,0.002466358966340107,0.00055543459936186672,1.2415887117385864,1.2415887117385864,1.9404160976409912,2.3141007423400879,0.99807582089775493,1.6206951911369574,13.65625
4,2.53125,20.15625,0.0022926336976798758,0.0022990842206657433,0.0011642057854536123,0.00031832993397510538,0.6413123607635498,0.6413123607635498,0,-0.11222314089536667,0.59338926498969768,-0.65861162429220932,20.15625
5,2.96875,12.03125,-0.00037026970842313678,0.0016722199267171318,0.0024928633164472795,0.00057391465731503359,1.4441832304000854,1.4441832304000854,1.8163764476776123,2.2751634120941162,1.1992670431661834,1.448826592504693,12.03125
6,3.40625,18.53125,0.0028240033118093043,0.0028319084507897434,0.0014671740148595154,0.00039917457652239089,0.89091140031814575,0.89091140031814575,0,-0.02925785630941391,0.82318253722487467,-0.72287187422291521,18.53125
7,3.84375,15.28125,0.0016250453626457627,0.001645127820582249,0.0014129952899564931,0.00041854476178940036,1.229445219039917,1.229445219039917,0.29464003443717957,0.81071889400482178,1.0957170693497911,-0.026953874707528906,15.28125
8,4.28125,21.78125,0.0065389258152766484,0.00654117506922341,0.0026663105312732249,0.00077911867497434289,0.85741692781448364,0.94773358106613159,0,-1.4545911550521851,0.68407386270436366,-2.2533931196021122,21.78125
9,4.71875,11.21875,0.00073750515418160092,0.0007996787890817283,0.0019489760818186725,0.00054989224928174549,1.6316492557525635,1.6316492557525635,0.94815385341644287,1.5418075323104858,1.4286661929491036,0.53324040449692356,11.21875
10,5.15625,17.71875,0.0053774110193016283,0.005383186461959997,0.0023586153153416591,0.00066020445650374947,1.1505577564239502,1.1505577564239502,0,-0.66537976264953613,1.0731779770417653,-1.5443470592133728,17.71875
